name	group	protein (g)	calcium (g)	sodium (g)	fiber (g)	vitaminc (g)	potassium (g)	carbohydrate (g)	sugars (g)	fat (g)	water (g)	calories	saturated (g)	monounsat (g)	polyunsat (g)	id
Crustaceans, shrimp, mixed species, cooked, breaded and fried	Finfish and Shellfish Products	21.39	0.067	0.344	0.4	0.0015	0.225	11.47	0.8	12.28	52.86	242	2.087	3.812	5.085	32351
Fish, fish portions and sticks, frozen, preheated	Finfish and Shellfish Products	11.04	0.026	0.421	1.4	0	0.216	21.18	2.5	13.25	53.08	249	2.758	4.21	5.701	32395
Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone	Finfish and Shellfish Products	20.86	0.24	0.414	0.1	0.001	0.341	0.54	0.43	10.45	66.86	185	2.684	4.818	2.111	32486
Baked beans, canned, no salt added	Legumes and Legume Products	4.8	0.05	0.001	5.5	0.0031	0.296	20.49	7.78	0.4	72.6	105	0.103	0.035	0.172	32590
Beans, baked, canned, plain or vegetarian	Legumes and Legume Products	4.75	0.034	0.343	4.1	0	0.224	21.14	7.96	0.37	72	94	0.071	0.095	0.121	32597
Beans, baked, canned, with franks	Legumes and Legume Products	6.75	0.048	0.43	6.9	0.0023	0.235	15.39	6.53	6.57	69.34	142	2.352	2.83	0.836	32599
Beans, baked, canned, with pork and sweet sauce	Legumes and Legume Products	5.29	0.059	0.334	4.2	0.0028	0.258	21.12	8.56	1.44	70.61	112	0.491	0.498	0.376	32601
Beans, baked, canned, with pork and tomato sauce	Legumes and Legume Products	5.15	0.056	0.437	4	0.003	0.295	18.69	5.67	0.93	73.5	94	0.293	0.277	0.157	32602
Beans, black turtle soup, mature seeds, cooked, boiled, with salt	Legumes and Legume Products	8.18	0.055	0.239	5.3	0	0.433	24.35	0.32	0.35	65.74	130	0.089	0.03	0.149	32605
Beans, black turtle soup, mature seeds, cooked, boiled, without salt	Legumes and Legume Products	8.18	0.055	0.003	5.3	0	0.433	24.35	0.32	0.35	65.74	130	0.089	0.03	0.149	32606
Beans, black turtle soup, mature seeds, raw	Legumes and Legume Products	21.25	0.16	0.009	24.9	0	1.5	63.25	2.25	0.9	11	339	0.232	0.078	0.387	32607
Beans, black, mature seeds, raw	Legumes and Legume Products	21.6	0.123	0.005	15.2	0	1.483	62.36	2.12	1.42	11.02	341	0.366	0.123	0.61	32610
Beans, chili, barbecue, ranch style, cooked	Legumes and Legume Products	5	0.031	0.725	4.2	0.0017	0.45	16.9	5.25	1	75.5	97	0.145	0.077	0.555	32611
Beans, great northern, mature seeds, raw	Legumes and Legume Products	21.86	0.175	0.014	20.2	0.0053	1.387	62.37	2.26	1.14	10.7	339	0.356	0.053	0.477	32622
Beans, kidney, all types, mature seeds, canned	Legumes and Legume Products	5.22	0.034	0.296	5.3	0.0012	0.237	14.5	1.85	0.6	78.04	84	0.141	0.382	0.263	32623
Beans, kidney, all types, mature seeds, cooked, boiled, with salt	Legumes and Legume Products	8.67	0.028	0.238	6.4	0.0012	0.403	22.8	0.32	0.5	66.94	127	0.072	0.039	0.275	32624
Beans, kidney, all types, mature seeds, cooked, boiled, without salt	Legumes and Legume Products	8.67	0.035	0.001	6.4	0.0012	0.405	22.8	0.32	0.5	66.94	127	0.073	0.039	0.278	32625
Beans, kidney, all types, mature seeds, raw	Legumes and Legume Products	23.58	0.143	0.024	24.9	0.0045	1.406	60.01	2.23	0.83	11.75	333	0.12	0.064	0.457	32626
Beans, kidney, red, mature seeds, canned	Legumes and Legume Products	5.26	0.025	0.258	5.4	0.0011	0.256	15.54	1.86	0.36	77.37	84	0.085	0.171	0.151	32630
Beans, kidney, red, mature seeds, cooked, boiled, with salt	Legumes and Legume Products	8.67	0.028	0.238	7.4	0.0012	0.403	22.8	0.32	0.5	66.94	127	0.072	0.039	0.275	32631
Beans, kidney, red, mature seeds, cooked, boiled, without salt	Legumes and Legume Products	8.67	0.028	0.002	7.4	0.0012	0.403	22.8	0.32	0.5	66.94	127	0.072	0.039	0.275	32632
Beans, kidney, red, mature seeds, raw	Legumes and Legume Products	22.53	0.083	0.012	15.2	0.0045	1.359	61.29	2.1	1.06	11.75	337	0.154	0.082	0.586	32633
Beans, navy, mature seeds, canned	Legumes and Legume Products	7.53	0.047	0.448	5.1	0.0007	0.288	20.45	0.28	0.43	70.45	113	0.112	0.038	0.186	32638
Beans, navy, mature seeds, cooked, boiled, with salt	Legumes and Legume Products	8.23	0.069	0.237	10.5	0	0.389	26.05	0.37	0.62	63.81	140	0.098	0.142	0.49	32639
Beans, navy, mature seeds, cooked, boiled, without salt	Legumes and Legume Products	8.23	0.069	0	10.5	0.0009	0.389	26.05	0.37	0.62	63.81	140	0.098	0.142	0.49	32640
Beans, navy, mature seeds, raw	Legumes and Legume Products	22.33	0.147	0.005	24.4	0	1.185	60.75	3.88	1.5	12.1	337	0.17	0.245	1.411	32641
Beans, pink, mature seeds, cooked, boiled, with salt	Legumes and Legume Products	9.06	0.052	0.238	5.3	0	0.508	27.91	0.36	0.49	61.2	149	0.126	0.042	0.21	32642
Beans, pink, mature seeds, cooked, boiled, without salt	Legumes and Legume Products	9.06	0.052	0.002	5.3	0	0.508	27.91	0.36	0.49	61.2	149	0.126	0.042	0.21	32643
Beans, pink, mature seeds, raw	Legumes and Legume Products	20.96	0.13	0.008	12.7	0	1.464	64.19	2.14	1.13	10.06	343	0.292	0.098	0.487	32644
Beans, pinto, mature seeds, canned	Legumes and Legume Products	4.86	0.043	0.294	4.6	0.0009	0.243	15.25	0.21	0.81	77.54	86	0.167	0.162	0.289	32645
Beans, pinto, mature seeds, cooked, boiled, with salt	Legumes and Legume Products	9.01	0.046	0.238	9	0.0008	0.436	26.22	0.34	0.65	62.95	143	0.109	0.106	0.188	32646
Beans, pinto, mature seeds, cooked, boiled, without salt	Legumes and Legume Products	9.01	0.046	0.001	9	0.0008	0.436	26.22	0.34	0.65	62.95	143	0.136	0.133	0.235	32647
Beans, pinto, mature seeds, raw	Legumes and Legume Products	21.42	0.113	0.012	15.5	0.0063	1.393	62.55	2.11	1.23	11.33	347	0.235	0.229	0.407	32648
Beans, white, mature seeds, canned	Legumes and Legume Products	7.26	0.073	0.005	4.8	0	0.454	21.2	0.29	0.29	70.1	114	0.076	0.026	0.126	32652
Beans, white, mature seeds, cooked, boiled, with salt	Legumes and Legume Products	9.73	0.09	0.242	6.3	0	0.561	25.09	0.34	0.35	63.08	139	0.091	0.031	0.152	32653
Beans, white, mature seeds, cooked, boiled, without salt	Legumes and Legume Products	9.73	0.09	0.006	6.3	0	0.561	25.09	0.34	0.35	63.08	139	0.091	0.031	0.152	32654
Beans, white, mature seeds, raw	Legumes and Legume Products	23.36	0.24	0.016	15.2	0	1.795	60.27	2.11	0.85	11.32	333	0.219	0.074	0.364	32655
Broadbeans (fava beans), mature seeds, cooked, boiled, with salt	Legumes and Legume Products	7.6	0.036	0.241	5.4	0.0003	0.268	19.65	1.82	0.4	71.54	110	0.066	0.079	0.164	32660
Broadbeans (fava beans), mature seeds, cooked, boiled, without salt	Legumes and Legume Products	7.6	0.036	0.005	5.4	0.0003	0.268	19.65	1.82	0.4	71.54	110	0.066	0.079	0.164	32661
Broadbeans (fava beans), mature seeds, raw	Legumes and Legume Products	26.12	0.103	0.013	25	0.0014	1.062	58.29	5.7	1.53	10.98	341	0.254	0.303	0.627	32662
Carob flour	Legumes and Legume Products	4.62	0.348	0.035	39.8	0.0002	0.827	88.88	49.08	0.65	3.58	222	0.09	0.197	0.216	32668
Chickpea flour (besan)	Legumes and Legume Products	22.39	0.045	0.064	10.8	0	0.846	57.82	10.85	6.69	10.28	387	0.693	1.504	2.983	32671
Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, with salt	Legumes and Legume Products	8.86	0.049	0.243	7.6	0.0013	0.291	27.42	4.8	2.59	60.21	164	0.269	0.583	1.156	32673
Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt	Legumes and Legume Products	8.86	0.049	0.007	7.6	0.0013	0.291	27.42	4.8	2.59	60.21	164	0.269	0.583	1.156	32674
Chickpeas (garbanzo beans, bengal gram), mature seeds, raw	Legumes and Legume Products	19.3	0.105	0.024	17.4	0.004	0.875	60.65	10.7	6.04	11.53	364	0.626	1.358	2.694	32675
Chili with beans, canned	Legumes and Legume Products	5.71	0.047	0.522	4.4	0.0017	0.365	11.91	1.19	5.49	75.51	112	2.352	2.332	0.362	32676
Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, with salt	Legumes and Legume Products	7.73	0.024	0.24	6.5	0.0004	0.278	20.76	3.3	0.53	70.04	116	0.138	0.044	0.225	32682
Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, without salt	Legumes and Legume Products	7.73	0.024	0.004	6.5	0.0004	0.278	20.76	3.3	0.53	70.04	116	0.138	0.044	0.225	32683
Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw	Legumes and Legume Products	23.52	0.11	0.016	10.6	0.0015	1.112	60.03	6.9	1.26	11.95	336	0.331	0.106	0.542	32684
ENSURE FIBER WITH FOS, liquid	Legumes and Legume Products	3.43	0.136	0.078	1.1	0.0117	0.144	16.36	4.68	2.38	76	101	0.152	0.967	0.547	32685
Fish sticks, meatless	Legumes and Legume Products	23	0.095	0.49	6.1	0	0.6	9	0.8	18	45	290	2.849	4.376	9.332	32687
GARDENBURGER Breaded Chik'n Veggie Patties	Legumes and Legume Products	12.5	0.087	0.695	5	0	0.408	18.5	0.8	12.4	52.1	218	1.8	6.9	3.6	32690
GARDENBURGER, Black Bean Chipotle Burger	Legumes and Legume Products	6.6	0.048	0.545	6.4	0.017	0.204	22.3	1.5	3.9	65.5	134	0.4	2.2	1.1	32691
GARDENBURGER, California Burger	Legumes and Legume Products	5.1	0.048	0.564	3.6	0.016	0.204	21.5	1.5	5.2	66.2	144	0.5	3	1.5	32692
GARDENBURGER, Flame Grilled Burger	Legumes and Legume Products	17.5	0.097	0.705	7.2	0	0.397	8.6	0.4	4.7	67.2	123	0.4	2.4	1.8	32693
GARDENBURGER, Garden Vegan	Legumes and Legume Products	12.5	0.023	0.385	6.1	0.0003	0.102	17	0.3	1	68.3	106	0.2	0.2	0.5	32694
GARDENBURGER, Gourmet Baja Steak	Legumes and Legume Products	4.4	0.058	0.441	6.2	0.041	0.189	22.9	2.1	3.9	67.1	123	1.1	1.8	0.8	32695
GARDENBURGER, Gourmet Fire Dragon Steak	Legumes and Legume Products	3.1	0.041	0.363	7.6	0.027	0.153	17.9	4.3	4.9	72.6	101	1.5	1.7	1.6	32696
GARDENBURGER, Gourmet Hula Steak	Legumes and Legume Products	3.8	0.027	0.386	6.9	0.003	0.129	30.5	8	5.4	58.9	162	3.8	0.7	0.6	32697
GARDENBURGER, Gourmet Tuscany Steak	Legumes and Legume Products	7.5	0.091	0.479	8.3	0.044	0.148	22.8	2.4	4.9	63	138	2.4	1.5	0.7	32698
GARDENBURGER, Herb Crusted Cutlet	Legumes and Legume Products	13.1	0.063	0.581	4.5	0	0.262	17.7	0.9	10	57	200	0.8	6	2.6	32699
GARDENBURGER, Homestyle Classic Veggie Burger	Legumes and Legume Products	17.5	0.111	0.695	6.4	0	0.464	10.6	0.6	8.8	59.9	171	0.7	4.7	2.9	32700
GARDENBURGER, Malibu Burger made with organic whole grains, corn and carrots	Legumes and Legume Products	5.6	0.077	0.671	5	0.018	0.249	23.1	2.4	9.3	59.3	188	0.9	5.7	2	32701
GARDENBURGER, Original	Legumes and Legume Products	6.4	0.065	0.565	6.5	0.0056	0.156	25.3	1	4.5	61.9	145	1.4	1.7	1	32702
GARDENBURGER, Savory Portabella Veggie Burger	Legumes and Legume Products	6.3	0.067	0.695	7.1	0.003	0.15	23.4	1.2	3.6	63.1	139	1.1	1	0.7	32703
GARDENBURGER, Sun-Dried Tomato Basil Burger	Legumes and Legume Products	5.5	0.05	0.387	5.2	0.012	0.078	23.7	2.6	3.6	65.5	137	1	1.2	0.8	32704
GARDENBURGER, Veggie Medley Burger	Legumes and Legume Products	4.6	0.033	0.53	7.3	0.02	0.178	24.3	1.6	3.7	65.4	135	0.4	1.5	1.6	32705
Hummus, home prepared	Legumes and Legume Products	4.86	0.049	0.242	4	0.0079	0.173	20.12	0.27	8.59	64.87	177	1.141	4.865	2.109	32708
LOMA LINDA Big Franks, canned, unprepared	Legumes and Legume Products	21.5	0.017	0.426	3.5	0	0.116	5.8	0.4	12.1	59.1	218	1.6	3.1	7.4	32712
LOMA LINDA Linketts, canned, unprepared	Legumes and Legume Products	21.3	0.011	0.401	3	0	0.064	4.4	0.3	11.8	61.2	209	1.6	2.9	7	32713
LOMA LINDA Little Links, canned, unprepared	Legumes and Legume Products	19.4	0.019	0.472	4.2	0	0.056	5.5	0.8	13.5	60	221	2	3.5	7.7	32714
LOMA LINDA Low Fat Big Franks, canned, unprepared	Legumes and Legume Products	23.1	0.017	0.481	4.1	0	0.1	4.9	0.3	4.7	65.6	154	0.5	1.1	3.1	32715
LOMA LINDA Redi-Burger, canned, unprepared	Legumes and Legume Products	21.9	0.017	0.508	4.3	0	0.17	8.2	1.2	2.8	64.8	146	0.4	0.6	1.8	32716
LOMA LINDA Swiss Stake with Gravy, canned, unprepared	Legumes and Legume Products	10.2	0.035	0.471	3.2	0	0.226	10.4	0.9	6.2	70.9	138	0.8	1.6	3.7	32717
LOMA LINDA Tender Bits, canned, unprepared	Legumes and Legume Products	15.1	0.017	0.613	4.3	0	0.065	8.3	0.6	4.6	70	135	0.7	1.1	2.6	32718
LOMA LINDA Tender Rounds with Gravy, canned, unprepared	Legumes and Legume Products	16.3	0.014	0.443	3.5	0	0.095	7.4	1	5.6	69.1	145	0.7	1.3	2.3	32719
LOMA LINDA Vege-Burger, canned, unprepared	Legumes and Legume Products	22.2	0.016	0.222	2.6	0	0.074	3.7	0.8	1.2	72	114	0.2	0.2	0.8	32720
Lentils, mature seeds, cooked, boiled, with salt	Legumes and Legume Products	9.02	0.019	0.238	7.9	0.0015	0.369	19.54	1.8	0.38	69.64	114	0.053	0.064	0.175	32721
Lentils, mature seeds, cooked, boiled, without salt	Legumes and Legume Products	9.02	0.019	0.002	7.9	0.0015	0.369	20.13	1.8	0.38	69.64	116	0.053	0.064	0.175	32722
Lentils, raw	Legumes and Legume Products	25.8	0.056	0.006	30.5	0.0044	0.955	60.08	2.03	1.06	10.4	353	0.156	0.189	0.516	32724
Lima beans, large, mature seeds, cooked, boiled, with salt	Legumes and Legume Products	7.8	0.017	0.238	7	0	0.508	20.88	2.9	0.38	69.79	115	0.089	0.034	0.171	32726
Lima beans, large, mature seeds, cooked, boiled, without salt	Legumes and Legume Products	7.8	0.017	0.002	7	0	0.508	20.88	2.9	0.38	69.79	115	0.089	0.034	0.171	32727
Lima beans, large, mature seeds, raw	Legumes and Legume Products	21.46	0.081	0.018	19	0	1.724	63.38	8.5	0.69	10.17	338	0.161	0.062	0.309	32728
Lima beans, thin seeded (baby), mature seeds, raw	Legumes and Legume Products	20.62	0.081	0.013	20.6	0	1.403	62.83	8.32	0.93	12.07	335	0.219	0.084	0.42	32731
MORI-NU, Tofu, silken, extra firm	Legumes and Legume Products	7.4	0.031	0.063	0.1	0	0.154	2	0.99	1.9	88.1	55	0.3	0.345	1.061	32736
MORI-NU, Tofu, silken, firm	Legumes and Legume Products	6.9	0.032	0.036	0.1	0	0.194	2.4	1.27	2.7	87.4	62	0.406	0.539	1.485	32737
MORI-NU, Tofu, silken, soft	Legumes and Legume Products	4.8	0.031	0.005	0.1	0	0.18	2.9	1.31	2.7	89	55	0.357	0.522	1.55	32740
MORNINGSTAR FARMS Asian Veggie Patties, frozen, unprepared	Legumes and Legume Products	10.9	0.051	0.725	3	0.003	0.392	14.9	4.9	6.2	64.75	155	0.8	1.7	3.7	32741
MORNINGSTAR FARMS BBQ Riblets, frozen, unprepared	Legumes and Legume Products	13.1	0.1	0.574	4.8	0.0009	0.411	24.4	16.8	2.5	57.4	157	0.2	1.6	0.7	32742
MORNINGSTAR FARMS Breakfast Pattie made with Organic Soy, frozen, unprepared	Legumes and Legume Products	22.1	0.045	0.632	4.3	0	0.458	10.6	1.5	8.2	55.4	205	1.1	3.3	3.8	32743
MORNINGSTAR FARMS California Turk'y Burger, frozen, unprepared	Legumes and Legume Products	14.1	0.063	0.609	7.8	0.025	0.422	10.91	1.6	7.9	62.59	142	0.8	2.29	3.09	32744
MORNINGSTAR FARMS Chik Patties, frozen, unprepared	Legumes and Legume Products	11.8	0.041	0.835	3	0	0.392	22.9	2	7	54	197	0.8	1.4	4.7	32745
MORNINGSTAR FARMS Chik'n Grill Veggie Patties, frozen, unprepared	Legumes and Legume Products	12.8	0.054	0.519	5.7	0	0.32	10.2	0.2	4.8	70.8	118	0.4	2.4	1.5	32746
MORNINGSTAR FARMS Chik'n Nuggets, frozen, unprepared	Legumes and Legume Products	14.4	0.075	0.702	4.9	0.0002	0.379	21.8	2.2	10	50.9	221	1.5	2.7	5.3	32747
MORNINGSTAR FARMS Garden Veggie Patties, frozen, unprepared	Legumes and Legume Products	17.8	0.059	0.525	4.5	0.0011	0.21	13.7	1.8	5.6	59.9	176	0.8	1.5	3.2	32748
MORNINGSTAR FARMS Grillers Burger Style Recipe Crumbles, frozen, unprepared	Legumes and Legume Products	17.8	0.033	0.427	4.7	0	0.189	8.3	1.1	4.3	66	140	0.5	0.9	2.87	32749
MORNINGSTAR FARMS Grillers Original, frozen, unprepared	Legumes and Legume Products	23.9	0.061	0.422	4.4	0	0.182	8.5	1.2	9.3	55.6	213	1.7	2.6	5	32750
MORNINGSTAR FARMS Grillers Prime, frozen, unprepared	Legumes and Legume Products	24	0.058	0.501	2.6	0	0.224	5.9	0.3	13.2	54.3	238	1.6	5.6	6	32751
MORNINGSTAR FARMS Grillers Quarter Pound Veggie Burger, frozen, unprepared	Legumes and Legume Products	22.79	0.079	0.429	2.5	0.028	0.235	8.92	0.6	10.5	55.59	221	1.89	2	4.9	32752
MORNINGSTAR FARMS Grillers Vegan, frozen, unprepared	Legumes and Legume Products	16.3	0.037	0.395	5.2	0	0.498	9.1	0.4	3.4	68.2	132	0.5	1.2	1.7	32753
MORNINGSTAR FARMS Hot and Spicy Veggie Sausage Patties, frozen, unprepared	Legumes and Legume Products	21.79	0.04	0.551	2.3	0.003	0.297	8.52	0.2	7.4	59.79	188	0.89	1.7	4.09	32754
MORNINGSTAR FARMS Italian Herb Chik Patties, frozen, unprepared	Legumes and Legume Products	13.6	0.05	0.682	3.4	0	0.483	31.1	1.5	7	47.4	236	0.8	1.3	4.85	32755
MORNINGSTAR FARMS Lasagna with Veggie Sausage, frozen, unpreapred	Legumes and Legume Products	7.19	0.093	0.208	2.3	0.003	0.229	14.42	1.7	2.29	75	107	1	0.5	0.4	32756
MORNINGSTAR FARMS Maple Flavored Veggie Sausage Patties, frozen, unprepared	Legumes and Legume Products	26.3	0.037	0.656	2	0	0.279	13.6	5.9	7.2	51	222	0.9	1.6	4	32757
MORNINGSTAR FARMS Meal Starters Chik'n Strips, frozen, unprepared	Legumes and Legume Products	26.8	0.045	0.597	1.4	0	0.124	6.7	1.2	3.9	60.3	164	0.6	1.5	1.69	32758
MORNINGSTAR FARMS MeatFree Buffalo Wings, frozen, unprepared	Legumes and Legume Products	14.5	0.052	0.758	3.7	0.0005	0.493	23	2.1	9.4	50.4	230	1.2	2	6.14	32759
MORNINGSTAR FARMS Mushroom Lover's Burger, frozen, unprepared	Legumes and Legume Products	11.6	0	0.346	1.2	0	0	11.8	1.6	8.8	66.1	169	1.3	2.5	4.9	32760
MORNINGSTAR FARMS Original Chik'n Tenders, frozen, unprepared	Legumes and Legume Products	14.7	0.052	0.714	3.6	0	0.247	25.2	0.6	8.1	50.4	233	1.1	2.4	4.55	32761
MORNINGSTAR FARMS Sausage Style Recipe Crumbles, frozen, unprepared	Legumes and Legume Products	20.2	0.044	0.758	4.6	0	0.165	9.92	1.39	4.59	62	162	0.5	0.89	2	32762
MORNINGSTAR FARMS Spicy Black Bean Burger, frozen, unprepared	Legumes and Legume Products	16.1	0.103	0.52	6.8	0.001	0.38	19.7	2.8	5.7	56.5	171	0.8	1.5	3.3	32763
MORNINGSTAR FARMS Tomato & Basil Pizza Burger, frozen, unprepared	Legumes and Legume Products	15.5	0.048	0.389	3.7	0.022	0.238	11.1	2.4	8.3	62.8	181	2.2	2.1	3.86	32764
MORNINGSTAR FARMS Veggie Breakfast Bacon Strips, frozen, unprepared	Legumes and Legume Products	12.4	0.042	1.463	5.1	0	0.097	14.3	0.8	26.6	41.9	346	4.2	6.2	16.2	32765
MORNINGSTAR FARMS Veggie Breakfast Sausage Links, frozen, unprepared	Legumes and Legume Products	19.2	0.026	0.67	4	0	0.109	6.8	1	6.1	64	159	0.7	1.8	3.6	32766
MORNINGSTAR FARMS Veggie Breakfast Sausage Patties, frozen, unprepared	Legumes and Legume Products	25.8	0.044	0.671	4.1	0	0.328	8.8	1.7	7.9	54.4	210	1.1	1.9	4.9	32767
MORNINGSTAR FARMS Veggie Italian Style Sausage, frozen, unprepared	Legumes and Legume Products	17.5	0.039	0.549	2	0.001	0.194	10.6	1	8.7	62.2	187	1.1	1.6	3.9	32768
MORNINGSTAR FARMS Veggie Sweet and Sour Chik'n, frozen, unprepared	Legumes and Legume Products	5	0.007	0.192	1.3	0.0184	0.123	20.42	4.19	2.29	70.9	122	0.2	1	0.6	32769
Meatballs, meatless	Legumes and Legume Products	21	0.025	0.55	4.6	0	0.18	8	1.25	9	58	197	1.425	2.188	4.666	32771
Miso	Legumes and Legume Products	11.69	0.057	3.728	5.4	0	0.21	26.47	6.2	6.01	43.02	199	1.139	1.242	3.204	32772
Mung beans, mature seeds, cooked, boiled, with salt	Legumes and Legume Products	7.02	0.027	0.238	7.6	0.001	0.266	19.15	2	0.38	72.66	105	0.116	0.054	0.128	32776
Mung beans, mature seeds, cooked, boiled, without salt	Legumes and Legume Products	7.02	0.027	0.002	7.6	0.001	0.266	19.15	2	0.38	72.66	105	0.116	0.054	0.128	32777
Mung beans, mature seeds, raw	Legumes and Legume Products	23.86	0.132	0.015	16.3	0.0048	1.246	62.62	6.6	1.15	9.05	347	0.348	0.161	0.384	32778
Mungo beans, mature seeds, cooked, boiled, with salt	Legumes and Legume Products	7.54	0.053	0.243	6.4	0.001	0.231	18.34	2.01	0.55	72.51	105	0.038	0.029	0.359	32779
Mungo beans, mature seeds, cooked, boiled, without salt	Legumes and Legume Products	7.54	0.053	0.007	6.4	0.001	0.231	18.34	2.01	0.55	72.51	105	0.038	0.029	0.359	32780
Natto	Legumes and Legume Products	17.72	0.217	0.007	5.4	0.013	0.729	14.36	4.89	11	55.02	212	1.591	2.43	6.21	32782
Peanut butter with omega-3, creamy	Legumes and Legume Products	24.47	0.045	0.356	6.1	0	0.78	17	3.11	54.17	0.99	608	9.691	36.614	6.95	32785
Peanut butter, chunk style, with salt	Legumes and Legume Products	24.06	0.045	0.486	8	0	0.745	21.57	8.41	49.94	1.14	589	8.081	24.561	14.798	32786
Peanut butter, chunk style, without salt	Legumes and Legume Products	24.06	0.045	0.017	8	0	0.745	21.57	8.41	49.94	1.14	589	8.081	24.561	14.798	32787
Peanut butter, chunky, vitamin and mineral fortified	Legumes and Legume Products	26.06	0.045	0.366	5.7	0	0.744	17.69	10.94	51.47	1.48	593	7.972	24.366	14.648	32788
Peanut butter, reduced sodium	Legumes and Legume Products	24	0.041	0.203	6.6	0	0.747	21.83	9.29	49.9	1.1	590	7.716	23.582	14.363	32789
Peanut butter, smooth style, with salt	Legumes and Legume Products	25.09	0.043	0.459	6	0	0.649	19.56	9.22	50.39	1.81	588	10.51	24.216	14.161	32790
Peanut butter, smooth style, without salt	Legumes and Legume Products	25.09	0.043	0.017	6	0	0.649	19.56	9.22	50.39	1.81	588	10.292	23.713	13.867	32791
Peanut butter, smooth, reduced fat	Legumes and Legume Products	25.9	0.035	0.54	5.2	0	0.669	35.65	9.28	34	1.2	520	5.76	16.156	9.182	32792
Peanut butter, smooth, vitamin and mineral fortified	Legumes and Legume Products	25.72	0.043	0.42	5.6	0	0.667	18.75	10.47	50.81	1.47	591	10.125	24.832	13.847	32793
Peanut flour, defatted	Legumes and Legume Products	52.2	0.14	0.18	15.8	0	1.29	34.7	8.22	0.55	7.8	327	0.063	0.225	0.143	32794
Peanut spread, reduced sugar	Legumes and Legume Products	24.8	0.072	0.447	7.8	0	0.818	14.23	3.34	54.89	1.93	650	10.22	26.997	16.266	32796
Peanuts, all types, cooked, boiled, with salt	Legumes and Legume Products	13.5	0.055	0.751	8.8	0	0.18	21.26	2.47	22.01	41.78	318	3.055	10.921	6.956	32797
Peanuts, all types, dry-roasted, with salt	Legumes and Legume Products	23.68	0.054	0.813	8	0	0.658	21.51	4.18	49.66	1.55	585	6.893	24.64	15.694	32798
Peanuts, all types, dry-roasted, without salt	Legumes and Legume Products	23.68	0.054	0.006	8	0	0.658	21.51	4.18	49.66	1.55	585	6.893	24.64	15.694	32799
Peanuts, all types, oil-roasted, with salt	Legumes and Legume Products	28.03	0.061	0.32	9.4	0.0008	0.726	15.26	4.18	52.5	1.45	599	8.686	25.976	15.292	32800
Peanuts, all types, oil-roasted, without salt	Legumes and Legume Products	26.35	0.088	0.006	6.9	0	0.682	18.92	4.16	49.3	1.95	581	6.843	24.462	15.58	32801
